frame,gpss,time_s,id,range,az,el,rcs,rv,abs_radial_velocity,vn,ve,vd,speed_mps,horizontal_speed_mps,inliers,duration,lat,lon,alt,label,class_name,dist3,range_err
0,243782.9238682226,0.0,791,100.391472,-8.30088615,-11.3247252,-26.3737106,0.359413654,0.359413654,4.70439482,1.17394197,0.411423653,4.866080537107681,4.848656553249603,9,12.3000612,35.7252502,-78.6929855,74.5917664,0,NON_UAV,385.4398923042768,384.1462651936574
0,243782.9238682226,0.0,795,111.532516,-28.0720425,-9.23127556,-26.7104416,0.4418208,0.4418208,-1.64297414,-0.380936891,0.101123475,1.689586605306032,1.686557719034094,4,5.12502575,35.7249451,-78.693161,76.6943512,0,NON_UAV,397.2349464681392,373.00522119365746
0,243782.9238682226,0.0,794,120.929276,-17.9031429,-9.76284599,-30.9696484,0.173965752,0.173965752,3.25204825,0.30641818,0.150393352,3.2699125495475214,3.2664521918072786,7,6.40628195,35.725132,-78.6932526,75.2352676,0,NON_UAV,376.643451675315,363.60846119365743
0,243782.9238682226,0.0,784,136.734314,15.3792715,-8.62938786,-31.631197,3.20878601,3.20878601,6.40480661,1.313936,-0.118048064,6.539259198793839,6.538193597898099,7,14.8625746,35.7257843,-78.6930695,75.9556503,0,NON_UAV,343.9276012438597,347.8034231936574
0,243782.9238682226,0.0,790,146.988174,-31.5813484,-7.07914925,-30.744133,0.888722479,0.888722479,-2.74926114,-0.636033416,-0.0628139,2.822573454884025,2.8218744341629964,6,9.73754883,35.7248497,-78.6935501,78.7922287,0,NON_UAV,382.05958797658485,337.5495631936575
0,243782.9238682226,0.0,785,151.443604,-25.2474346,-10.4449244,-27.8658543,-0.706883788,0.706883788,-0.292881399,0.783253849,0.709756494,1.096822860186951,0.8362213258782103,8,11.5313082,35.725,-78.6935959,70.1911621,0,NON_UAV,365.73268234302935,333.09413319365746
0,243782.9238682226,0.0,776,170.187668,-19.2891903,-8.30042839,-31.0440559,1.00531614,1.00531614,1.37639868,-0.831982076,0.270282,1.6308647585299685,1.6083120036519694,14,27.4188881,35.7251587,-78.6937943,74.8977737,0,NON_UAV,341.3709975489068,314.3500691936574
0,243782.9238682226,0.0,772,186.633148,42.6091118,-3.03821421,-18.5444221,-0.246850505,0.246850505,-0.625620663,-0.915904343,-0.470281959,1.2047601837958037,1.1091807695316491,14,41.2564583,35.7265396,-78.692688,86.3410645,0,NON_UAV,339.48197946520946,297.90458919365744
0,243782.9238682226,0.0,539,389.489532,18.2524433,-3.60230756,-18.0048637,-0.308573663,0.308573663,0.752726674,1.17484462,-1.04891789,1.7455904636701298,1.3952982931595834,201,245.232483,35.7274208,-78.6950226,89.9636688,0,NON_UAV,121.84052125407835,95.04820519365745
0,243782.9238682226,0.0,778,439.136139,26.5591621,-5.31941223,-15.8738565,1.01864302,1.01864302,3.27125692,2.54700112,-0.697246134,4.204103794307068,4.145881877469393,19,23.3188667,35.7281113,-78.6948929,74.8851,0,NON_UAV,144.0839669959957,45.401598193657435
0,243782.9238682226,0.0,787,451.465027,22.4144707,-4.41443634,-16.0118618,0.241364285,0.241364285,2.05339122,1.93328774,-0.757342041,2.9202027249958937,2.820286685428876,12,10.5063028,35.7280159,-78.6952515,82.977829,0,NON_UAV,116.06855106485483,33.07271019365743
0,243782.9238682226,0.0,797,458.824677,31.1872864,-6.35300303,-10.1646318,13.8123989,13.8123989,12.8510113,-5.83632469,-2.62219286,14.355733095696166,14.114218976614728,4,1385.55066,35.7284393,-78.6946945,64.4465408,0,NON_UAV,175.99559725457536,25.71306019365744
0,243782.9238682226,0.0,792,460.460052,20.9077835,-5.31387949,-14.0405836,0.297148556,0.297148556,0.820312619,0.395576596,-1.30857897,1.5942937486297333,0.9107105117399197,10,7.94379,35.728,-78.6954193,76.1240845,0,NON_UAV,101.14111516702945,24.07768519365743
0,243782.9238682226,0.0,626,466.697632,31.172781,-7.56042767,-16.6637497,8.91803932,8.91803932,7.64150238,-4.26951075,2.98225284,9.247438167925175,8.753358250860709,296,117.619339,35.7284889,-78.6947479,54.2665558,0,NON_UAV,174.1815830643799,17.84010519365745
0,243782.9238682226,0.0,491,478.793518,23.7069397,-3.76011753,-15.9523363,-0.604747057,0.604747057,0.450653285,1.47390926,-2.53940725,2.970536327222342,1.5412647047133206,977,465.608582,35.7282639,-78.6953583,87.8165588,1,UAV,128.03436794466714,5.744219193657443
0,243782.9238682226,0.0,796,745.137939,-30.4801769,-6.92704725,-7.98932457,2.275455,2.275455,-31.8064919,1.81573534,34.0838623,46.65468348510203,31.858277131848965,4,1385.29443,35.7244682,-78.7001343,49.7922096,0,NON_UAV,488.1442360072063,260.6002018063425
0,243782.9238682226,0.0,775,838.068481,-13.1573563,-7.37415075,-5.66640329,0.289150715,0.289150715,-0.0513659902,-0.357230157,-0.931844234,0.9992925129603033,0.3609042116953904,59,31.2626572,35.7266579,-78.7009506,44.0515938,0,NON_UAV,437.5729604672178,353.53074380634257
0,243782.9238682226,0.0,793,892.387878,-4.17935658,-6.54982376,-8.12868786,-0.199373394,0.199373394,-4.17468739,-1.45860875,-0.114572436,4.423650204626553,4.422166244025837,12,5.12502575,35.7279587,-78.701088,54.6369362,0,NON_UAV,443.6062014946453,407.85014080634255
1,243783.18011950815,0.25625128555111587,791,100.491264,-7.57994032,-11.380374,-26.3737106,0.41943717,0.41943717,4.70439482,1.17394197,0.411423653,4.866080537107681,4.848656553249603,9,12.5563126,35.7252617,-78.6929779,74.4863434,0,NON_UAV,385.124292822193,384.04647319365745
1,243783.18011950815,0.25625128555111587,795,111.646515,-28.2893085,-9.23306274,-26.7104416,0.447921783,0.447921783,-1.64297414,-0.380936891,0.101123475,1.689586605306032,1.686557719034094,4,5.38127708,35.7249413,-78.693161,76.6684341,0,NON_UAV,397.5330067280345,372.8912221936574
1,243783.18011950815,0.25625128555111587,794,120.724815,-18.7103233,-9.08423901,-31.0800266,0.140953705,0.140953705,2.27615047,0.115588084,-0.447870761,2.3226729829665502,2.279083492819869,8,6.66253328,35.7251167,-78.6932526,76.6503601,0,NON_UAV,377.98903726349096,363.8129221936574
1,243783.18011950815,0.25625128555111587,784,137.564316,15.9916143,-8.57233334,-31.631197,3.26908135,3.26908135,6.40480661,1.313936,-0.118048064,6.539259198793839,6.538193597898099,7,15.1188259,35.7258,-78.6930618,75.9859,0,NON_UAV,343.54823410220166,346.9734211936575
1,243783.18011950815,0.25625128555111587,790,147.217514,-31.8498135,-7.0590663,-30.744133,0.90120548,0.90120548,-2.74926114,-0.636033416,-0.0628139,2.822573454884025,2.8218744341629964,6,9.9938,35.7248459,-78.6935501,78.8083191,0,NON_UAV,382.38606939663674,337.32022319365745
1,243783.18011950815,0.25625128555111587,785,151.262619,-25.2770882,-10.5209255,-27.8658543,-0.705691576,0.705691576,-0.292881399,0.783253849,0.709756494,1.096822860186951,0.8362213258782103,8,11.7875595,35.725,-78.6935959,70.0092926,0,NON_UAV,365.71431145771857,333.2751181936575
1,243783.18011950815,0.25625128555111587,776,170.445602,-19.1791267,-8.31979942,-31.0440559,1.00779355,1.00779355,1.37639868,-0.831982076,0.270282,1.6308647585299685,1.6083120036519694,14,27.6751385,35.7251587,-78.6938,74.8285141,0,NON_UAV,341.0335582739833,314.09213519365744
1,243783.18011950815,0.25625128555111587,772,186.574707,42.5202179,-3.00828266,-18.5444221,-0.239647016,0.239647016,-0.622027874,-0.921159506,-0.466041803,1.2052586750032603,1.111509564298537,14,41.5127068,35.7265396,-78.692688,86.4554367,0,NON_UAV,339.49991574490303,297.96303019365746
1,243783.18011950815,0.25625128555111587,539,389.410706,18.3024597,-3.56102347,-18.0048637,-0.306631,0.306631,0.752726674,1.17484462,-1.04891789,1.7455904636701298,1.3952982931595834,201,245.488724,35.7274246,-78.695015,90.23246,0,NON_UAV,122.54625226381553,95.12703119365744
1,243783.18011950815,0.25625128555111587,778,439.398407,26.6927128,-5.28954363,-15.8738565,1.02834249,1.02834249,3.27125692,2.54700112,-0.697246134,4.204103794307068,4.145881877469393,19,23.575119,35.7281189,-78.6948853,75.0637741,0,NON_UAV,145.11043433704396,45.13933019365743
1,243783.18011950815,0.25625128555111587,787,451.527496,22.5051022,-4.38634825,-16.0118618,0.246170476,0.246170476,2.05339122,1.93328774,-0.757342041,2.9202027249958937,2.820286685428876,12,10.7625542,35.7280197,-78.6952438,83.1719,0,NON_UAV,116.8858202843457,33.010241193657464
1,243783.18011950815,0.25625128555111587,792,460.536377,20.9334869,-5.27100039,-14.0405836,0.298513591,0.298513591,0.820312619,0.395576596,-1.30857897,1.5942937486297333,0.9107105117399197,10,8.20004082,35.728,-78.6954193,76.4594116,0,NON_UAV,101.28402147684398,24.001360193657433
1,243783.18011950815,0.25625128555111587,797,462.321198,31.2048264,-6.16227102,-10.1646318,13.6414976,13.6414976,12.3888359,-6.34030056,-4.1830163,14.532043611079992,13.91699199354031,4,1385.80701,35.728466,-78.6947174,65.8072739,0,NON_UAV,176.45276271794194,22.216539193657468
1,243783.18011950815,0.25625128555111587,626,468.983063,31.1958714,-7.6338563,-16.6637497,8.9256506,8.9256506,7.64758348,-4.26789093,2.98418593,9.25233979805947,8.757877943540043,296,117.875587,35.728508,-78.6947556,53.5008316,0,NON_UAV,174.93204754903547,15.554674193657434
